tag,row,type,description,Group,Location,total,Start Timing,Spread Over (mths),Share %,sum_in_model
2022-v1,515,A,Gas Facility Compression Phase #1,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v1,516,A,Gas Facility Compression Phase #2,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v1,517,A,Gas Facility Compression Phase #3,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v1,518,A,Gas Facility Compression Phase #4,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v1,519,A,Pipeline (Gas),Facilities,Field,-4100000.0,#N/A,6.0,0.0,0.0
2022-v1,520,A,Pipeline (Oil),Facilities,Field,-3800000.0,#N/A,6.0,0.0,0.0
2022-v1,523,A,Engineering and Facility Design,Engineering,Field,-30000.0,2019-01-01,1.0,0.0,0.0
2022-v1,524,A,Road Upgrades (Tec-2 WO & Tec-10 Drill),Drill,Field,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v1,525,A,Road Upgrades (Tec-11 Drill +),Drill,Field,-77000.0,2019-01-01,1.0,0.0,0.0
2022-v1,526,A,Tec-2 Survey,Workover,Field,-5000.0,2019-01-01,1.0,0.0,0.0
2022-v1,527,A,Tec-10 VT Survey,Drill,Field,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v1,528,A,Field Surveying,Engineering,Field,-20000.0,2019-01-01,1.0,0.0,0.0
2022-v1,529,A,Tec-2 Wellhead Maintenance,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v1,530,A,Tec-2 Site Prep,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v1,531,A,Tec-2 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-2,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v1,532,A,"Tec- 2 Extras (rods tubing, pump; extended test)",Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,533,A,Tec-2 Equip and Pipeline,Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,534,A,Tec-10 VT Permit,Drill,Tecolutla-10,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v1,535,A,Tec-10 VT Site Construction,Workover,Tecolutla-10,-150000.0,2019-01-01,1.0,0.0,0.0
2022-v1,536,A,Tec-10 VT Drill,Drill,Tecolutla-10,-1800000.0,2019-01-01,1.0,0.0,0.0
2022-v1,537,A,Tec-10 VT Complete,Drill,Tecolutla-10,-450000.0,2019-01-01,1.0,0.0,0.0
2022-v1,538,A,Tec-10 Core Study,Drill,Tecolutla-10,-25500.0,2019-01-01,1.0,0.0,0.0
2022-v1,539,A,Tec-11 HZ Permit,Drill,Tecolutla-11,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v1,540,A,Tec-2 Site Expansion (for Tec 11 Driil),Drill,Tecolutla-11,-200000.0,2019-01-01,1.0,0.0,0.0
2022-v1,541,A,Tec-11 HZ Drill,Drill,Tecolutla-11,-3100000.0,2019-01-01,1.0,0.0,0.0
2022-v1,542,A,Tec-11 HZ Complete,Drill,Tecolutla-11,-800000.0,2019-01-01,1.0,0.0,0.0
2022-v1,543,A,Tec-11 HZ Equip (jack),Drill,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,544,A,Tec-11 Single Well Battery,Facility,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,545,A,Tec-11 Pipeline (pending success on Tec-12 *Tec-10 Re-Entry),Workover,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,546,A,Tec-12 Drill,Drill,Tecolutla-12,-1250000.0,2022-08-01,1.0,1.0,-1250000.0
2022-v1,547,A,"Tec-12 Complete, Equip",Drill,Tecolutla-12,-250000.0,2022-08-01,1.0,1.0,-250000.0
2022-v1,548,A,Tec-12 Tie-in,Facility,Tecolutla-12,-50000.0,2022-08-01,1.0,1.0,-50000.0
2022-v1,549,A,"Tec-12 Battery Upgrade 
(incl Tec-11 WO  <- added this comment 2022-04-11)",Facility,Battery,-250000.0,2022-09-01,1.0,1.0,-250000.0
2022-v1,550,A,"Tec-13 Drill, Complete, Equip",Drill,Tecolutla-13,-1550000.0,2023-05-01,1.0,1.0,-1550000.0
2022-v1,551,A,"Tec-14 HZ Drill, Complete, Equip",Drill,Tecolutla-14,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,553,A,Tec-7 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-7,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v1,554,A,Water Disposal Line to Tec 7,Pipeline,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,555,A,Conversion of Tec 7 to Water Disposal (incl. logging),Conversion,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,556,A,Tec-12 Facility expansion #3 (winj skid? & add. Tanks),Pipeline,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v1,558,A,2020 START UP CAPITAL,Facility,Battery,-65000.0,2019-01-01,1.0,0.0,0.0
2022-v2,509,A,Oil Facility Phase #1,Facilities,Field,-15900000.0,#N/A,6.0,0.0,0.0
2022-v2,510,A,Oil Facility Phase #2,Facilities,Field,-5100000.0,#N/A,6.0,0.0,0.0
2022-v2,511,A,Gas Facility Phase #1,Facilities,Field,-11800000.0,#N/A,6.0,0.0,0.0
2022-v2,512,A,Gas Facility Phase #2,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v2,513,A,Gas Facility Phase #3,Facilities,Field,-2900000.0,#N/A,6.0,0.0,0.0
2022-v2,514,A,Gas Facility Phase #4,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v2,515,A,Gas Facility Compression Phase #1,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v2,516,A,Gas Facility Compression Phase #2,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v2,517,A,Gas Facility Compression Phase #3,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v2,518,A,Gas Facility Compression Phase #4,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v2,519,A,Pipeline (Gas),Facilities,Field,-4100000.0,#N/A,6.0,0.0,0.0
2022-v2,520,A,Pipeline (Oil),Facilities,Field,-3800000.0,#N/A,6.0,0.0,0.0
2022-v2,523,A,Engineering and Facility Design,Engineering,Field,-30000.0,2019-01-01,1.0,0.0,0.0
2022-v2,524,A,Road Upgrades (Tec-2 WO & Tec-10 Drill),Drill,Field,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v2,525,A,Road Upgrades (Tec-11 Drill +),Drill,Field,-77000.0,2019-01-01,1.0,0.0,0.0
2022-v2,526,A,Tec-2 Survey,Workover,Field,-5000.0,2019-01-01,1.0,0.0,0.0
2022-v2,527,A,Tec-10 VT Survey,Drill,Field,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v2,528,A,Field Surveying,Engineering,Field,-20000.0,2019-01-01,1.0,0.0,0.0
2022-v2,529,A,Tec-2 Wellhead Maintenance,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v2,530,A,Tec-2 Site Prep,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v2,531,A,Tec-2 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-2,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v2,532,A,"Tec- 2 Extras (rods tubing, pump; extended test)",Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,533,A,Tec-2 Equip and Pipeline,Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,534,A,Tec-10 VT Permit,Drill,Tecolutla-10,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v2,535,A,Tec-10 VT Site Construction,Workover,Tecolutla-10,-150000.0,2019-01-01,1.0,0.0,0.0
2022-v2,536,A,Tec-10 VT Drill,Drill,Tecolutla-10,-1800000.0,2019-01-01,1.0,0.0,0.0
2022-v2,537,A,Tec-10 VT Complete,Drill,Tecolutla-10,-450000.0,2019-01-01,1.0,0.0,0.0
2022-v2,538,A,Tec-10 Core Study,Drill,Tecolutla-10,-25500.0,2019-01-01,1.0,0.0,0.0
2022-v2,539,A,Tec-11 HZ Permit,Drill,Tecolutla-11,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v2,540,A,Tec-2 Site Expansion (for Tec 11 Driil),Drill,Tecolutla-11,-200000.0,2019-01-01,1.0,0.0,0.0
2022-v2,541,A,Tec-11 HZ Drill,Drill,Tecolutla-11,-3100000.0,2019-01-01,1.0,0.0,0.0
2022-v2,542,A,Tec-11 HZ Complete,Drill,Tecolutla-11,-800000.0,2019-01-01,1.0,0.0,0.0
2022-v2,543,A,Tec-11 HZ Equip (jack),Drill,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,544,A,Tec-11 Single Well Battery,Facility,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,545,A,Tec-11 Pipeline (pending success on Tec-12 *Tec-10 Re-Entry),Workover,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,546,A,Tec-12 Drill,Drill,Tecolutla-12,-1250000.0,2022-08-01,1.0,1.0,-1250000.0
2022-v2,547,A,"Tec-12 Complete, Equip",Drill,Tecolutla-12,-250000.0,2022-08-01,1.0,1.0,-250000.0
2022-v2,548,A,Tec-12 Tie-in,Facility,Tecolutla-12,-50000.0,2022-08-01,1.0,1.0,-50000.0
2022-v2,549,A,"Tec-12 Battery Upgrade 
(incl Tec-11 WO  <- added this comment 2022-04-11)",Facility,Battery,-250000.0,2022-09-01,1.0,1.0,-250000.0
2022-v2,550,A,"Tec-13 Drill, Complete, Equip",Drill,Tecolutla-13,-1550000.0,2023-01-01,1.0,1.0,-1550000.0
